,L1,L2,C1sa,L1sa,C1sb,L1sb,C1pa,L1pa,C2sa,L2sa,C2sb,L2sb,C2pa,L2pa,Zr_im
22,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
23,1.6749e-05,1.6749e-05,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
24,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000334513290942345,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
25,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000334690653683290,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
26,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000334475544590438,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
27,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333809718888427,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
28,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
29,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
30,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
31,1.6749e-05,1.6749e-05,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0,1.9999999999999998e-05,0.0,3.25100000000000e-6,1.75296165471173e-7,0.0,0
32,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,0.0,0.0,0.0,2.09321351091018e-7,0.0,-0.357806040413833
33,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,0.0,1e-06,0.0,2.64736314025742e-7,0.0,-0.452530292689137
34,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,0.0,0.0,1e-06,1.97527934499040e-7,0.0,-0.337646817899109
35,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,0.0,1e-08,0.0,0.0,0.000333843330942345,0.0179512148826668
36,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,1e-08,0.0,9.54404803954313e-9,0.0,0.0,0.000350592330942345,0
37,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,1.67490000000000e-5,0.0,0.0,2.09321351091018e-7,0.0,0
38,1.6749e-05,1.6749e-05,1e-08,0.0,1.00000000000000e-8,0.0,0.0,0.000350592330942345,0.0,1e-06,2.22612439483361e-7,0.0,3.50592330942345e-6,0.0,0
